Date/Time,Tb_dead,Model_temp
29/11/18 04:55,24,24
29/11/18 05:00,24,23.5
29/11/18 05:05,24,23.5
29/11/18 05:10,24,23
29/11/18 05:15,24,23
29/11/18 05:20,24,23
29/11/18 05:25,24,23
29/11/18 05:30,23.5,23
29/11/18 05:35,23.5,23.5
29/11/18 05:40,23.5,23.5
29/11/18 05:45,23.5,23.5
29/11/18 05:50,23.5,23.5
29/11/18 05:55,23.5,23.5
29/11/18 06:00,23.5,23.5
29/11/18 06:05,23.5,24
29/11/18 06:10,23.5,24
29/11/18 06:15,23.5,24.5
29/11/18 06:20,23.5,25
29/11/18 06:25,23.5,25
29/11/18 06:30,24,25.5
29/11/18 06:35,24,26
29/11/18 06:40,24,26
29/11/18 06:45,24,26.5
29/11/18 06:50,24,26.5
29/11/18 06:55,24,27
29/11/18 07:00,24,27
29/11/18 07:05,24.5,27
29/11/18 07:10,24.5,27
29/11/18 07:15,24.5,27.5
29/11/18 07:20,24.5,27.5
29/11/18 07:25,24.5,28
29/11/18 07:30,25,28.5
29/11/18 07:35,25,29
29/11/18 07:40,25,29
29/11/18 07:45,23,29.5
29/11/18 07:50,23.5,30.5
29/11/18 07:55,24.5,30.5
29/11/18 08:00,25,29.5
29/11/18 08:05,25.5,29.5
29/11/18 08:10,25.5,29.5
29/11/18 08:15,26,29.5
29/11/18 08:20,26.5,30
29/11/18 08:25,26.5,30
29/11/18 08:30,27,30.5
29/11/18 08:35,27.5,31
29/11/18 08:40,28,31
29/11/18 08:45,28,31.5
29/11/18 08:50,28.5,32
29/11/18 08:55,29,33
29/11/18 09:00,29,33
29/11/18 09:05,29.5,33
29/11/18 09:10,30,33
29/11/18 09:15,30,33.5
29/11/18 09:20,30.5,34
29/11/18 09:25,31,34.5
29/11/18 09:30,31.5,35
29/11/18 09:35,31.5,36
29/11/18 09:40,32,36
29/11/18 09:45,32,36
29/11/18 09:50,32.5,35.5
29/11/18 09:55,32.5,36
29/11/18 10:00,33,36.5
29/11/18 10:05,33,36.5
29/11/18 10:10,33.5,36.5
29/11/18 10:15,34,36.5
29/11/18 10:20,34,36.5
29/11/18 10:25,34.5,37
29/11/18 10:30,34.5,37
29/11/18 10:35,35,37.5
29/11/18 10:40,35,37.5
29/11/18 10:45,35,37.5
29/11/18 10:50,35.5,37
29/11/18 10:55,35.5,37.5
29/11/18 11:00,35.5,38
29/11/18 11:05,35.5,38.5
29/11/18 11:10,36,38
29/11/18 11:15,36,38
29/11/18 11:20,36,38.5
29/11/18 11:25,36.5,38.5
29/11/18 11:30,36.5,38.5
29/11/18 11:35,36.5,39
29/11/18 11:40,37,39
29/11/18 11:45,37,40
29/11/18 11:50,37.5,40
29/11/18 11:55,37.5,39
