"","POVI","Date","HR","Tb_predict","Tb_obs"
"3842","POVI_30","2019-02-20",12,36.8,33.5
"3843","POVI_30","2019-02-20",13,36.9,33.5
"3844","POVI_30","2019-02-20",14,38.3,34.5
"3845","POVI_30","2019-02-20",15,38.7,35.5
"3846","POVI_30","2019-02-20",16,38.5,35.5
"3847","POVI_30","2019-02-20",17,38,35.5
"3848","POVI_30","2019-02-20",18,35.9,33.5
"3849","POVI_30","2019-02-20",19,34.3,32
"3850","POVI_30","2019-02-20",20,32.8,30.5
"3851","POVI_30","2019-02-20",21,31.8,29
"3852","POVI_30","2019-02-20",22,30.9,28.5
"3853","POVI_30","2019-02-20",23,29.9,27.5
"3854","POVI_30","2019-02-21",0,28.7,26.5
"3855","POVI_30","2019-02-21",1,28.2,25.5
"3856","POVI_30","2019-02-21",2,27.6,25
"3857","POVI_30","2019-02-21",3,26.7,24
"3858","POVI_30","2019-02-21",4,26.1,23.5
"3859","POVI_30","2019-02-21",5,25.4,23
"3860","POVI_30","2019-02-21",6,26.7,22.5
"3861","POVI_30","2019-02-21",7,29.4,26.5
"3862","POVI_30","2019-02-21",8,31.4,29.5
"3863","POVI_30","2019-02-21",9,31.4,29
"3864","POVI_30","2019-02-21",10,32.7,30
"3865","POVI_30","2019-02-21",11,34.4,30.5
"3866","POVI_30","2019-02-21",12,35.8,32
"3867","POVI_30","2019-02-21",13,36.7,33
"3868","POVI_30","2019-02-21",14,37.8,34
"3869","POVI_30","2019-02-21",15,38.3,35
"3870","POVI_30","2019-02-21",16,38.3,35.5
"3871","POVI_30","2019-02-21",17,37.9,35
"3872","POVI_30","2019-02-21",18,36.3,34
"3873","POVI_30","2019-02-21",19,35.2,32.5
"3874","POVI_30","2019-02-21",20,34,31.5
"3875","POVI_30","2019-02-21",21,32.8,30
"3876","POVI_30","2019-02-21",22,31.9,29.5
"3877","POVI_30","2019-02-21",23,31.3,28.5
"3878","POVI_30","2019-02-22",0,31.2,28
"3879","POVI_30","2019-02-22",1,30.5,28
"3880","POVI_30","2019-02-22",2,30,27.5
"3881","POVI_30","2019-02-22",3,29.8,27
"3882","POVI_30","2019-02-22",4,29.3,26.5
"3883","POVI_30","2019-02-22",5,28.7,26
"3884","POVI_30","2019-02-22",6,30.7,26.5
"3885","POVI_30","2019-02-22",7,35,31
"3886","POVI_30","2019-02-22",8,34.2,32
"3887","POVI_30","2019-02-22",9,35.8,31.5
"3888","POVI_30","2019-02-22",10,36.4,33
"3889","POVI_30","2019-02-22",11,37.8,33.5
"3890","POVI_30","2019-02-22",12,37.5,34.5
"3891","POVI_30","2019-02-22",13,37.9,35
"3892","POVI_30","2019-02-22",14,40.8,37
"3893","POVI_30","2019-02-22",15,40.1,38.5
"3894","POVI_30","2019-02-22",16,39.6,37
"3895","POVI_30","2019-02-22",17,38.4,37.5
"3896","POVI_30","2019-02-22",18,36.2,36
"3897","POVI_30","2019-02-22",19,34.4,32.5
"3898","POVI_30","2019-02-22",20,33.5,30.5
"3899","POVI_30","2019-02-22",21,32.1,29.5
"3900","POVI_30","2019-02-22",22,31.2,28.5
"3901","POVI_30","2019-02-22",23,31.2,28
"3902","POVI_30","2019-02-23",0,30.2,27.5
"3903","POVI_30","2019-02-23",1,28.9,26.5
"3904","POVI_30","2019-02-23",2,28,25
"3905","POVI_30","2019-02-23",3,27,24.5
"3906","POVI_30","2019-02-23",4,25.9,23.5
"3907","POVI_30","2019-02-23",5,24.7,22.5
"3908","POVI_30","2019-02-23",6,29,21.5
"3909","POVI_30","2019-02-23",7,34.4,27.5
"3910","POVI_30","2019-02-23",8,33.6,31
"3911","POVI_30","2019-02-23",9,33.8,32
"3912","POVI_30","2019-02-23",10,34.5,31
"3913","POVI_30","2019-02-23",11,34.9,31.5
"3914","POVI_30","2019-02-23",12,35.8,32.5
"3915","POVI_30","2019-02-23",13,37.2,33.5
"3916","POVI_30","2019-02-23",14,37.5,34
"3917","POVI_30","2019-02-23",15,38.4,34.5
"3918","POVI_30","2019-02-23",16,38.4,37
"3919","POVI_30","2019-02-23",17,36.7,35
"3920","POVI_30","2019-02-23",18,34.8,32.5
"3921","POVI_30","2019-02-23",19,32.3,30.5
"3922","POVI_30","2019-02-23",20,30.5,29
"3923","POVI_30","2019-02-23",21,29.8,27.5
"3924","POVI_30","2019-02-23",22,28.2,26.5
"3925","POVI_30","2019-02-23",23,26.3,25
"3926","POVI_30","2019-02-24",0,26.2,23.5
"3927","POVI_30","2019-02-24",1,27.4,24.5
"3928","POVI_30","2019-02-24",2,27.3,25
"3929","POVI_30","2019-02-24",3,26.8,24.5
"3930","POVI_30","2019-02-24",4,26.1,24
"3931","POVI_30","2019-02-24",5,25.1,23
"3932","POVI_30","2019-02-24",6,26.7,23.5
"3933","POVI_30","2019-02-24",7,29.9,28
"3934","POVI_30","2019-02-24",8,33.1,30.5
"3935","POVI_30","2019-02-24",9,35.6,33
"3936","POVI_30","2019-02-24",10,37,32.5
"3937","POVI_30","2019-02-24",11,37.1,34.5
"3938","POVI_30","2019-02-24",12,37,34
"3939","POVI_30","2019-02-24",13,37.8,34.5
"3940","POVI_30","2019-02-24",14,39.5,37
"3941","POVI_30","2019-02-24",15,38.5,37
"3942","POVI_30","2019-02-24",16,39.8,37.5
"3943","POVI_30","2019-02-24",17,36.6,35
"3944","POVI_30","2019-02-24",18,34.9,33
"3945","POVI_30","2019-02-24",19,33.3,31.5
"3946","POVI_30","2019-02-24",20,32.2,30
"3947","POVI_30","2019-02-24",21,30.7,29
"3948","POVI_30","2019-02-24",22,29.3,27.5
"3949","POVI_30","2019-02-24",23,28.9,26.5
"3950","POVI_30","2019-02-25",0,27.8,26
"3951","POVI_30","2019-02-25",1,27.5,25
"3952","POVI_30","2019-02-25",2,26.6,24.5
"3953","POVI_30","2019-02-25",3,26.6,24
"3954","POVI_30","2019-02-25",4,26,23.5
"3955","POVI_30","2019-02-25",5,24.5,23
"3956","POVI_30","2019-02-25",6,29.7,22.5
"3957","POVI_30","2019-02-25",7,33.1,29.5
"3958","POVI_30","2019-02-25",8,33.7,29.5
"3959","POVI_30","2019-02-25",9,34,31
"3960","POVI_30","2019-02-25",10,37.1,32.5
"3961","POVI_30","2019-02-25",11,39.7,34
"3962","POVI_30","2019-02-25",12,40.4,36
"3963","POVI_30","2019-02-25",13,41,37
"3964","POVI_30","2019-02-25",14,40.1,37.5
"3965","POVI_30","2019-02-25",15,39.5,37
"3966","POVI_30","2019-02-25",16,39,36.5
"3967","POVI_30","2019-02-25",17,37.1,35.5
"3968","POVI_30","2019-02-25",18,34.6,34
"3969","POVI_30","2019-02-25",19,32,31
"3970","POVI_30","2019-02-25",20,31.7,29.5
"3971","POVI_30","2019-02-25",21,30.4,29
"3972","POVI_30","2019-02-25",22,29.5,28
"3973","POVI_30","2019-02-25",23,28.4,27
"3974","POVI_30","2019-02-26",0,27.8,26
"3975","POVI_30","2019-02-26",1,26.6,25.5
"3976","POVI_30","2019-02-26",2,24.9,24
"3977","POVI_30","2019-02-26",3,22.7,22.5
"3978","POVI_30","2019-02-26",4,21.8,21
"3979","POVI_30","2019-02-26",5,21.6,20
"3980","POVI_30","2019-02-26",6,24.5,20
"3981","POVI_30","2019-02-26",7,34.4,28
"3982","POVI_30","2019-02-26",8,36.4,33
"3983","POVI_30","2019-02-26",9,37.7,33
"3984","POVI_30","2019-02-26",10,37.9,35
"3985","POVI_30","2019-02-26",11,38.3,35
"3986","POVI_30","2019-02-26",12,38.4,35
"3987","POVI_30","2019-02-26",13,39,36
"3988","POVI_30","2019-02-26",14,39.4,36
"3989","POVI_30","2019-02-26",15,40.8,36.5
"3990","POVI_30","2019-02-26",16,38.6,38.5
"3991","POVI_30","2019-02-26",17,37.1,36
"3992","POVI_30","2019-02-26",18,35.2,34.5
"3993","POVI_30","2019-02-26",19,32.7,31.5
"3994","POVI_30","2019-02-26",20,31.7,30
"3995","POVI_30","2019-02-26",21,30.6,29
"3996","POVI_30","2019-02-26",22,30.4,28.5
"3997","POVI_30","2019-02-26",23,29.2,27.5
"3998","POVI_30","2019-02-27",0,28.2,26.5
"3999","POVI_30","2019-02-27",1,27.2,25.5
"4000","POVI_30","2019-02-27",2,26.7,25
"4001","POVI_30","2019-02-27",3,26.2,24.5
"4002","POVI_30","2019-02-27",4,25.6,24
"4003","POVI_30","2019-02-27",5,24.8,23
"4004","POVI_30","2019-02-27",6,26,22.5
"4005","POVI_30","2019-02-27",7,27.8,23.5
"4006","POVI_30","2019-02-27",8,34.4,29
"4007","POVI_30","2019-02-27",9,40.5,35.5
"4008","POVI_30","2019-02-27",10,40.6,37.5
"4009","POVI_30","2019-02-27",11,39,38
"4010","POVI_30","2019-02-27",12,39.2,35.5
"4011","POVI_30","2019-02-27",13,39.9,35.5
"4012","POVI_30","2019-02-27",14,39.1,35.5
"4013","POVI_30","2019-02-27",15,40.9,38
"4014","POVI_30","2019-02-27",16,42.2,39
"4015","POVI_30","2019-02-27",17,39.5,38.5
"4016","POVI_30","2019-02-27",18,36.1,35.5
"4017","POVI_30","2019-02-27",19,33.7,32
"4018","POVI_30","2019-02-27",20,32.1,30.5
"4019","POVI_30","2019-02-27",21,31.4,29.5
"4020","POVI_30","2019-02-27",22,31.2,29
"4021","POVI_30","2019-02-27",23,31,28.5
"4022","POVI_30","2019-02-28",0,29.7,27.5
"4023","POVI_30","2019-02-28",1,29.2,27
"4024","POVI_30","2019-02-28",2,28.5,26.5
"4025","POVI_30","2019-02-28",3,26.4,25.5
"4026","POVI_30","2019-02-28",4,24,23
"4027","POVI_30","2019-02-28",5,24.7,22.5
"4028","POVI_30","2019-02-28",6,27.4,23.5
"4029","POVI_30","2019-02-28",7,36.7,29
"4030","POVI_30","2019-02-28",8,35.6,33
"4031","POVI_30","2019-02-28",9,38,32
"4032","POVI_30","2019-02-28",10,39.7,35
"4033","POVI_30","2019-02-28",11,39,36.5
"4034","POVI_30","2019-02-28",12,39.2,36.5
"4035","POVI_30","2019-02-28",13,38.2,36
"4036","POVI_30","2019-02-28",14,39.8,35.5
"4037","POVI_30","2019-02-28",15,39.8,37
